threshold,image_index,dataset_index,original_bytes,payload_bits,payload_bytes,header_bytes,file_bytes,file_bpp,payload_bpp,predicted_bits,omitted_fraction,incorrect_omitted_predictions,omitted_error_rate,mse,mae,psnr_db,ssim,bit_error_rate,encode_seconds,decode_seconds,raw_payload_bytes,zlib_payload_bytes,payload_zlib_to_raw_ratio,first_incorrect_omission,mean_gap_between_errors,max_error_run,error_runs,mse_before_first_error_pixel,mse_after_first_error_pixel,encoder_decoder_equal
0.7,3,27119,1024,8093,1012,34,1046,8.171875,7.9033203125,99,0.0120849609375,26,0.26262626262626265,96.0634765625,1.2900390625,28.305220610489513,0.9876976839237903,0.003173828125,0.12348190937499481,0.1268541945312478,1012,802,0.7924901185770751,2599,203.56,1,26,0.0,140.52714285714285,True
0.7,4,21139,1024,8087,1011,34,1045,8.1640625,7.8974609375,105,0.0128173828125,1,0.009523809523809525,4.0,0.0625,42.11020369539948,0.9897125537976376,0.0001220703125,0.12348190937499481,0.1268541945312478,1011,1022,1.0108803165182987,5169,,1,1,0.0,10.835978835978835,True
0.7,5,19129,1024,8109,1014,34,1048,8.1875,7.9189453125,83,0.0101318359375,8,0.0963855421686747,32.1875,0.3984375,33.05393114482644,0.9950510749918722,0.0009765625,0.12348190937499481,0.1268541945312478,1014,1025,1.0108481262327416,2468,661.7142857142857,1,8,0.0,46.03351955307262,True
0.7,6,6433,1024,8104,1013,34,1047,8.1796875,7.9140625,88,0.0107421875,9,0.10227272727272728,23.0625,0.3203125,34.50173977364775,0.9644155896149238,0.0010986328125,0.12348190937499481,0.1268541945312478,1013,1024,1.0108588351431391,2744,601.125,1,9,0.0,34.6784140969163,True
0.7,7,38854,1024,8043,1006,34,1040,8.125,7.8544921875,149,0.0181884765625,18,0.12080536912751678,40.125,0.640625,32.09665315454982,0.9686907426715272,0.002197265625,0.12348190937499481,0.1268541945312478,1006,1017,1.010934393638171,524,440.7647058823529,1,18,0.0,42.84462982273201,True
0.7,8,22489,1024,8110,1014,34,1048,8.1875,7.919921875,82,0.010009765625,8,0.0975609756097561,17.0,0.203125,35.826314394896364,0.9980365904229813,0.0009765625,0.12348190937499481,0.1268541945312478,1014,1025,1.0108481262327416,347,745.2857142857143,1,8,0.0,17.745158002038735,True
0.7,9,31104,1024,8102,1013,34,1047,8.1796875,7.912109375,90,0.010986328125,11,0.12222222222222222,67.0625,0.7265625,29.86600621557884,0.9833496918170936,0.0013427734375,0.12348190937499481,0.1268541945312478,1013,962,0.9496544916090819,1792,509.0,1,11,0.0,85.84,True
0.7,10,21349,1024,8063,1008,34,1042,8.140625,7.8740234375,129,0.0157470703125,19,0.14728682170542637,90.0625,0.8984375,28.585363627098456,0.932102008077329,0.0023193359375,0.12348190937499481,0.1268541945312478,1008,1019,1.0109126984126984,188,438.6666666666667,1,19,0.0,92.13186813186813,True
0.7,11,29116,1024,8077,1010,34,1044,8.15625,7.8876953125,115,0.0140380859375,12,0.10434782608695652,69.3779296875,0.6279296875,29.718590249858224,0.9716651630324472,0.00146484375,0.12348190937499481,0.1268541945312478,1010,1021,1.010891089108911,607,667.0,1,12,0.0,74.8609062170706,True
0.7,12,10772,1024,8074,1010,34,1044,8.15625,7.884765625,118,0.014404296875,23,0.19491525423728814,89.375,1.15625,28.618643060587733,0.984645863033832,0.0028076171875,0.12348190937499481,0.1268541945312478,1010,1021,1.010891089108911,201,339.27272727272725,1,23,0.0,91.61161161161161,True
0.7,13,18332,1024,8098,1013,34,1047,8.1796875,7.908203125,94,0.011474609375,13,0.13829787234042554,62.125,0.765625,30.198139591265218,0.9614901888424344,0.0015869140625,0.12348190937499481,0.1268541945312478,1013,1024,1.0108588351431391,184,632.0833333333334,1,13,0.0,63.55244755244755,True
0.7,14,1003,1024,8029,1004,34,1038,8.109375,7.8408203125,163,0.0198974609375,35,0.2147239263803681,64.25,0.921875,30.052072288645782,0.9701497702693122,0.0042724609375,0.12348190937499481,0.1268541945312478,1004,1015,1.0109561752988048,76,236.0,1,35,0.0,64.81970443349753,True
0.7,15,22156,1024,8100,1013,34,1047,8.1796875,7.91015625,92,0.01123046875,9,0.09782608695652174,80.0625,0.7578125,29.09651213779149,0.9679017805467443,0.0010986328125,0.12348190937499481,0.1268541945312478,1013,1024,1.0108588351431391,3073,588.875,1,9,0.0,128.1,True
0.7,16,26453,1024,8089,1012,34,1046,8.171875,7.8994140625,103,0.0125732421875,8,0.07766990291262135,39.5,0.4375,32.1648326524145,0.9834132049402373,0.0009765625,0.12348190937499481,0.1268541945312478,1012,1023,1.0108695652173914,2939,403.14285714285717,1,8,0.0,61.564687975646876,True
0.7,17,17039,1024,8123,1016,34,1050,8.203125,7.9326171875,69,0.0084228515625,7,0.10144927536231885,25.31640625,0.306640625,34.096783047266086,0.976315463068008,0.0008544921875,0.12348190937499481,0.1268541945312478,1016,1027,1.0108267716535433,1401,752.8333333333334,1,7,0.0,30.53474676089517,True
0.7,18,7166,1024,8044,1006,34,1040,8.125,7.85546875,148,0.01806640625,13,0.08783783783783784,26.5,0.390625,33.898344869311025,0.9784498810040675,0.0015869140625,0.12348190937499481,0.1268541945312478,1006,1017,1.010934393638171,1018,490.5833333333333,1,13,0.0,30.25195094760312,True
